bob_mcbob,waterloo ontario
cbirkett,"waterloo,on"
cerpin,seymour mo
karura,"vancouver,bc"
jinasd,11361
kevin,"Vancouver, BC"
locu64,sydney
notjin,11361
vertigo,"vancouver,wa"
jew,lulea
jin,11361
pf,"montreal,qc"
jewice,"lulea,se"
pfdad,11361
apatton__,48316
jonathan,montreal qc
mock,kyoto
notjin1,10001
tristen,"rockville, md 20850"
munch,"montreal,qc"
notjin123,"waterloo, on"
cetoole,"redmond,wa"
jewiceking,lulea
jinp6301,11361
jewassking,lulea
bob_mcbobln7,waterloo ontario 
byan,48864
locutox,sydney
xqo,trondheim
xand1x,"richmond hill, ontario"
iceking,lulea
